Site,Turbidity (NTU),Fecal Coliform (CFU),Chlorophyll (nu/l),Refined Oil (RFU),Temp (C)
Camachee,4.668386237,14,4.649450516,50.27,16.32
Camachee,15.24988893,14,3.628794828,40.93,16.32
Camachee,9.490373698,10,4.847080191,40.76,16.32
Camachee,12.80621514,11,3.94143143,36.33,16.32
Camachee,5.295650886,18,3.871553024,57.09,16.32
Camachee,9.010638298,1,2.629810682,42.11,16.36
Camachee,6.296440737,0,3.071614591,55.12,16.36
Camachee,3.887890606,,2.712002463,40.73,16.36
Camachee,7.349039838,,2.691623826,38.79,16.36
Camachee,6.910179197,,3.057577343,40.74,16.36
Conch,4.435701239,0,6.020729567,50.38,15.96
Conch,14.05679518,8,6.821529937,51.33,15.96
Conch,19.85113788,0,5.495379406,48.44,15.96
Conch,10.96169225,13,9.87617054,35.85,15.96
Conch,12.75154268,7,6.497749731,35.52,15.96
Conch,7.955496865,7,5.121237494,59.74,15.9
Conch,7.590536605,6,6.241754656,51.98,15.9
Conch,7.324974083,0,6.834151147,57.18,15.9
Conch,6.643728094,21,6.213926428,57.21,15.9
Conch,13.33899393,0,4.884081884,59.52,15.9
Shipyard,2.041269685,12,5.320714176,34.61,15.96
Shipyard,8.204521894,10,5.198319224,42.38,15.96
Shipyard,1.449992595,10,5.309878405,43.15,15.96
Shipyard,7.109320235,12,5.356299831,36.62,15.96
Shipyard,4.885965345,9,5.718313068,38.34,15.96
Shipyard,2.125907094,9,4.725978144,54.61,15.9
Shipyard,5.798834971,21,4.792236417,52.38,15.9
Shipyard,2.403366737,9,4.828733262,53.14,15.9
Shipyard,1.994545096,17,4.840554102,57.99,15.9
Shipyard,4.696031002,16,4.683373865,56.94,15.9
Oasis,8.2868638,8,3.307107896,32.93,17.52
Oasis,10.53857926,7,3.534597507,33.7,17.52
Oasis,9.315471195,9,3.244248115,29.48,17.52
Oasis,11.34274572,6,3.469829152,34,17.52
Oasis,9.00471442,10,3.466073572,29.13,17.52
Oasis,9.356987708,8,3.215188549,40.04,17.44
Oasis,9.611739152,7,3.371937817,43.74,17.44
Oasis,13.63664412,14,3.433443128,51.01,17.44
Oasis,9.541763341,22,3.636613822,51.91,17.44
Oasis,9.611739152,18,3.441200554,43.5,17.44
City,12.50293726,1,4.925824227,14.9,16.8
City,20.11877376,6,6.448126828,17.32,16.8
City,18.42609962,5,9.351743882,15.47,16.8
City,17.60655576,0,8.372830537,15.67,16.8
City,14.92701288,2,6.666442974,15.64,16.8
City,12.34486844,12,5.097965215,45.52,16.8
City,9.802019055,5,3.860840388,58.06,16.8
City,10.95858222,0,10.30898569,53.29,16.8
City,9.234314064,2,4.238861013,52.41,16.8
City,14.25090092,8,4.800843466,50.41,16.8
Camachee,9.990250284,4,4.794009543,48.54,
Camachee,9.15041714,0,6.11511159,48.45,
Conch ,15.82601076,0,11.55485301,47.75,
Conch ,15.92222442,14,8.974277359,36.41,
Conch ,7.062299452,0,8.111971679,46.09,
Shipyard,1.929382436,1,5.350820379,34.12,
Shipyard,3.492422373,13,5.564026474,37.66,
Shipyard,3.076689539,8,4.19416346,35.74,
Oasis,9.420299156,11,3.890946591,51.7,
Oasis,10.3616034,15,3.988961059,53.83,
Oasis,10.81063336,3,3.094394336,51.22,
City ,439.6037172,0,43.80148992,32.37,
City ,456.9043047,0,10.30935509,11.64,
City ,74.2431752,0,11.40315222,50.13,
